Taxon Id	Common name	Scientific name	Lineage	Links
295027	HHV-5	Human cytomegalovirus (strain Merlin)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Cytomegalovirus, Human cytomegalovirus	
327105	HIV-1	Human immunodeficiency virus type 1 group O (isolate ANT70)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group O	
333760		Human papillomavirus type 16	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Alphapapillomavirus, Alphapapillomavirus 9	
333923		Human papillomavirus 5	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Betapapillomavirus, Betapapillomavirus 1	
335103	RV ADRV-N	Rotavirus X (strain RVX/Human/China/NADRV-J19/1997/GXP[X])	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Rotavirus, Rotavirus H	
371094	CHIKV	Chikungunya virus (strain S27-African prototype)	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Chikungunya virus	
373193	XMRV	Xenotropic MuLV-related virus (isolate VP62)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus, unclassified Gammaretrovirus, Murine leukemia-related retroviruses, XMRV-related viruses, Xenotropic MuLV-related virus	
388818	HIV-1	Human immunodeficiency virus type 1 group N (isolate YBF30)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 1, HIV-1 group N	
402036	HTLV-3	Human T-cell leukemia virus 3 (strain 2026ND)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Primate T-lymphotropic virus 3, Human T-cell leukemia virus 3	
446561	ABLV	Australian bat lyssavirus (isolate Bat/AUS/1996)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Lyssavirus, Lyssavirus australis	
487099	UUKV	Uukuniemi virus (strain S23)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Phlebovirus, Uukuniemi phlebovirus	
518987		Influenza B virus (strain B/Lee/1940)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Betainfluenzavirus, Influenza B virus	
524364	Hu/NV/NV/1968/US	Norwalk virus (strain GI/Human/United States/Norwalk/1968)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Norovirus, Norwalk virus, Norovirus isolates	
587200	VARV	Variola virus (isolate Human/India/Ind3/1967)	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Orthopoxvirus, Variola virus	
645098	MeV	Measles virus (strain Ichinose-B95a)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Morbillivirus, Measles morbillivirus	
647330	OV-SA00	Orf virus (strain Goat/Texas/SA00/2000)	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Pokkesviricetes, Chitovirales, Poxviridae, Chordopoxvirinae, Parapoxvirus, Orf virus	
647332	PBV	Human picobirnavirus (strain Human/Thailand/Hy005102/-)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Duplopiviricetes, Durnavirales, Picobirnaviridae, Orthopicobirnavirus, Orthopicobirnavirus hominis, Human picobirnavirus	
648168	CTFV	Colorado tick fever virus (strain USA/Florio N-7180)	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Spinareoviridae, Coltivirus, Colorado tick fever coltivirus	
648237	HPV B19	Human parvovirus B19 (strain HV)	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Erythroparvovirus, Primate erythroparvovirus 1, Human parvovirus B19	
649604	BAV	Banna virus (strain Indonesia/JKT-6423/1980)	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Seadornavirus, Banna virus	
650130	HRV-89	Human rhinovirus A serotype 89 (strain 41467-Gallo)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Enterovirus, Rhinovirus A, Human rhinovirus 89	
650132	AiV	Aichi virus (strain Human/A846/88/1989)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Kobuvirus, Aichi virus, Aichi virus 1	
651733	SV-A	Salivirus A (isolate Human/Nigeria/NG-J1/2007)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Salivirus, Salivirus A	
652674	HEV	Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987)	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Hepeviridae, Orthohepevirinae, Paslahepevirus, Hepatitis E virus	
